Date,Open,High,Low,Close,Adj Close,Volume
2012-08-01,17244.439453,17972.539063,17026.970703,17380.75,17380.75,213400
2012-09-01,17465.599609,18869.939453,17250.800781,18762.740234,18762.740234,214200
2012-10-01,18784.640625,19137.289063,18393.419922,18505.380859,18505.380859,200600
2012-11-01,18487.900391,19372.699219,18255.689453,19339.900391,19339.900391,163000
2012-12-01,19342.830078,19612.179688,19149.029297,19426.710938,19426.710938,175200
2013-01-01,19693.300781,20203.660156,19596.380859,19894.980469,19894.980469,205600
2013-02-01,19907.210938,19966.689453,18793.970703,18861.539063,18861.539063,179800
2013-03-01,18876.679688,19754.660156,18568.429688,18835.769531,18835.769531,194000
2013-04-01,18890.810547,19622.679688,18144.220703,19504.179688,19504.179688,183800
2013-05-01,19459.330078,20443.619141,19451.259766,19760.300781,19760.300781,198000
2013-06-01,19859.220703,19860.189453,18467.160156,19395.810547,19395.810547,197600
2013-07-01,19352.480469,20351.060547,19126.820313,19345.699219,19345.699219,214900
2013-08-01,19443.289063,19569.199219,17448.710938,18619.720703,18619.720703,304800
2013-09-01,18691.830078,20739.689453,18166.169922,19379.769531,19379.769531,264600
2013-10-01,19452.050781,21205.439453,19264.720703,21164.519531,21164.519531,235400
2013-11-01,21158.810547,21293.880859,20137.669922,20791.929688,20791.929688,193300
2013-12-01,20771.269531,21483.740234,20568.699219,21170.679688,21170.679688,198500
2014-01-01,21222.189453,21409.660156,20343.779297,20513.849609,20513.849609,204900
2014-02-01,20479.029297,21140.509766,19963.119141,21120.119141,21120.119141,166300
2014-03-01,21079.269531,22467.210938,20920.980469,22386.269531,22386.269531,365900
2014-04-01,22455.230469,22939.310547,22197.509766,22417.800781,22417.800781,155700
2014-05-01,22493.589844,25375.630859,22277.039063,24217.339844,24217.339844,321700
2014-06-01,24368.960938,25735.869141,24270.199219,25413.779297,25413.779297,271700
2014-07-01,25469.939453,26300.169922,24892,25894.970703,25894.970703,232000
2014-08-01,25753.919922,26674.380859,25232.820313,26638.109375,26638.109375,156800
2014-09-01,26733.179688,27354.990234,26220.490234,26630.509766,26630.509766,178100
2014-10-01,26681.470703,27894.320313,25910.769531,27865.830078,27865.830078,147200
2014-11-01,27943.039063,28822.369141,27739.560547,28693.990234,28693.990234,164500
2014-12-01,28748.220703,28809.640625,26469.419922,27499.419922,27499.419922,199600
2015-01-01,27521.279297,29844.160156,26776.119141,29182.949219,29182.949219,227900
2015-02-01,29143.630859,29522.859375,28044.490234,29220.119141,29220.119141,245200
2015-03-01,29533.419922,30024.740234,27248.449219,27957.490234,27957.490234,256500
2015-04-01,27954.859375,29094.609375,26897.539063,27011.310547,27011.310547,218100
2015-05-01,27242.050781,28071.160156,26423.990234,27828.439453,27828.439453,217100
2015-06-01,27770.789063,27968.75,26307.070313,27780.830078,27780.830078,241700
2015-07-01,27823.650391,28578.330078,27416.390625,28114.560547,28114.560547,217000
2015-08-01,28089.089844,28417.589844,25298.419922,26283.089844,26283.089844,286800
2015-09-01,26127.039063,26471.820313,24833.539063,26154.830078,26154.830078,313100
2015-10-01,26344.189453,27618.140625,26168.710938,26656.830078,26656.830078,242600
2015-11-01,26641.689453,26824.300781,25451.419922,26145.669922,26145.669922,196700
2015-12-01,26201.269531,26256.419922,24867.730469,26117.539063,26117.539063,218600
2016-01-01,26116.519531,26116.519531,23839.759766,24870.689453,24870.689453,220300
2016-02-01,24982.220703,25002.320313,22494.609375,23002,23002,364500
2016-03-01,23153.320313,25479.619141,23133.179688,25341.859375,25341.859375,301700
2016-04-01,25301.699219,26100.539063,24523.199219,25606.619141,25606.619141,236300
2016-05-01,25565.439453,26837.199219,25057.929688,26667.960938,26667.960938,280500
2016-06-01,26684.460938,27105.410156,25911.330078,26999.720703,26999.720703,245400
2016-07-01,27064.330078,28240.199219,27034.140625,28051.859375,28051.859375,266300
2016-08-01,28083.080078,28532.25,27627.970703,28452.169922,28452.169922,280700
2016-09-01,28459.089844,29077.279297,27716.779297,27865.960938,27865.960938,258900
2016-10-01,27997.289063,28477.650391,27488.300781,27941.509766,27941.509766,228500
2016-11-01,27966.179688,28029.800781,25717.929688,26652.810547,26652.810547,261000
2016-12-01,26756.660156,26803.759766,25753.740234,26626.460938,26626.460938,189300
2017-01-01,26711.150391,27980.390625,26447.060547,27655.960938,27655.960938,201400
2017-02-01,27669.080078,29065.310547,27590.099609,28743.320313,28743.320313,240100
2017-03-01,28849.039063,29824.619141,28716.210938,29620.5,29620.5,1536500
2017-04-01,29737.730469,30184.220703,29241.480469,29918.400391,29918.400391,194700
2017-05-01,30021.490234,31255.279297,29804.119141,31145.800781,31145.800781,282400
2017-06-01,31117.089844,31522.869141,30680.660156,30921.609375,30921.609375,329400
2017-07-01,31156.039063,32672.660156,31017.109375,32514.939453,32514.939453,258300
2017-08-01,32579.800781,32686.480469,31128.019531,31730.490234,31730.490234,241300
2017-09-01,31769.339844,32524.109375,31081.830078,31283.720703,31283.720703,233900
2017-10-01,31537.810547,33340.171875,31440.480469,33213.128906,33213.128906,209400
2017-11-01,33344.230469,33865.949219,32683.589844,33149.351563,33149.351563,718100
2017-12-01,33247.660156,34137.96875,32565.160156,34056.828125,34056.828125,252700
2018-01-01,34059.988281,36443.980469,33703.371094,35965.019531,35965.019531,397600
2018-02-01,36048.988281,36256.828125,33482.808594,34184.039063,34184.039063,358100
2018-03-01,34141.21875,34278.628906,32483.839844,32968.679688,32968.679688,266400
2018-04-01,33030.871094,35213.300781,32972.558594,35160.359375,35160.359375,227700
2018-05-01,35328.910156,35993.53125,34302.890625,35322.378906,35322.378906,239400
2018-06-01,35373.980469,35877.410156,34784.679688,35423.480469,35423.480469,321000
2018-07-01,35545.21875,37644.589844,35106.570313,37606.578125,37606.578125,273300
2018-08-01,37643.871094,38989.648438,37128.988281,38645.070313,38645.070313,263300
2018-09-01,38915.910156,38934.351563,35985.628906,36227.140625,36227.140625,305800
2018-10-01,36274.25,36616.640625,33291.578125,34442.050781,34442.050781,441200
2018-11-01,34650.628906,36389.21875,34303.378906,36194.300781,36194.300781,399800
2018-12-01,36396.691406,36554.988281,34426.289063,36068.328125,36068.328125,121837500
